"name","taxon","phylum","source"
"Erysipelotrichaceae bacterium 5_2_54FAA","552396","Firmicutes","HMP_2018"
"Lactobacillus plantarum subsp. plantarum ATCC 14917","525338","Firmicutes","HMP_2018"
"Peptoclostridium difficile 70-100-2010","1002369","Firmicutes","HMP_2018"
"Helicobacter pylori HP260Bi","1159080","Proteobacteria","HMP_2018"
"Bacteroides sp. D20","585543","Bacteroidetes","HMP_2018"
"Enterobacter cancerogenus ATCC 35316","500639","Proteobacteria","HMP_2018"
"Desulfovibrio piger ATCC 29098","411464","Proteobacteria","HMP_2018"
"Dysgonomonas mossii DSM 22836","742767","Bacteroidetes","HMP_2018"
"Clostridium asparagiforme DSM 15981","518636","Firmicutes","HMP_2018"
"Escherichia coli MS 57-2","749529","Proteobacteria","HMP_2018"
"Roseburia intestinalis XB6B4","718255","Firmicutes","HMP_2018"
"Sutterella wadsworthensis 2_1_59BFAA","742823","Proteobacteria","HMP_2018"
"Bacteroides ovatus 3_8_47FAA","665954","Bacteroidetes","HMP_2018"
"Erysipelotrichaceae bacterium 3_1_53","658659","Firmicutes","HMP_2018"
"Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505","547043","Actinobacteria","HMP_2018"
"Lachnospiraceae bacterium 1_1_57FAA","658081","Firmicutes","HMP_2018"
"Eubacterium rectale M104/1","657317","Firmicutes","HMP_2018"
"Bacteroides dorei 5_1_36/D4","556260","Bacteroidetes","HMP_2018"
"Bifidobacterium breve DSM 20213 = JCM 1192","518634","Actinobacteria","HMP_2018"
"Desulfitobacterium hafniense DP7","537010","Firmicutes","HMP_2018"
"Clostridium methylpentosum DSM 5476","537013","Firmicutes","HMP_2018"
"Neisseria macacae ATCC 33926","997348","Proteobacteria","HMP_2018"
"Helicobacter canadensis MIT 98-5491","537970","Proteobacteria","HMP_2018"
"Bacteroides ovatus SD CMC 3f","702443","Bacteroidetes","HMP_2018"
"Enterococcus faecalis PC1.1","791166","Firmicutes","HMP_2018"
"Bacteroides sp. 3_2_5","457392","Bacteroidetes","HMP_2018"
"Escherichia coli MS 198-1","749549","Proteobacteria","HMP_2018"
"Clostridium scindens ATCC 35704","411468","Firmicutes","HMP_2018"
"Desulfovibrio sp. 6_1_46AFAA","665942","Proteobacteria","HMP_2018"
"Acinetobacter radioresistens SH164","575589","Proteobacteria","HMP_2018"
"Clostridium sp. L2-50","411489","Firmicutes","HMP_2018"
"Coprobacillus sp. 29_1","100884","Firmicutes","HMP_2018"
"Sutterella wadsworthensis 3_1_45B","742821","Proteobacteria","HMP_2018"
"Helicobacter pylori GAM265BSii","1159049","Proteobacteria","HMP_2018"
"Bacteroides plebeius DSM 17135","484018","Bacteroidetes","HMP_2018"
"Clostridium bolteae ATCC BAA-613","411902","Firmicutes","HMP_2018"
"Fusobacterium ulcerans 12-1B","457404","Fusobacteria","HMP_2018"
"Bilophila wadsworthia 3_1_6","563192","Proteobacteria","HMP_2018"
"Clostridium hathewayi DSM 13479","566550","Firmicutes","HMP_2018"
"Lachnospiraceae bacterium 6_1_63FAA","658083","Firmicutes","HMP_2018"
"Parabacteroides sp. 2_1_7","457388","Bacteroidetes","HMP_2018"
"Turicibacter sanguinis PC909","702450","Firmicutes","HMP_2018"
"Ralstonia sp. 5_2_56FAA","658080","Proteobacteria","HMP_2018"
"Dorea formicigenerans ATCC 27755","411461","Firmicutes","HMP_2018"
"Megamonas funiformis YIT 11815","742816","Firmicutes","HMP_2018"
"Alistipes shahii WAL 8301","717959","Bacteroidetes","HMP_2018"
"Bacteroides sp. 3_1_23","457390","Bacteroidetes","HMP_2018"
"Escherichia coli MS 175-1","749544","Proteobacteria","HMP_2018"
"Tyzzerella nexilis DSM 1787","500632","Firmicutes","HMP_2018"
"Clostridium symbiosum WAL-14163","742740","Firmicutes","HMP_2018"
"Bacteroides vulgatus PC510","702446","Bacteroidetes","HMP_2018"
"Erysipelotrichaceae bacterium 21_3","658657","Firmicutes","HMP_2018"
"Helicobacter pylori HP250BFii","1159072","Proteobacteria","HMP_2018"
"Clostridiales bacterium 1_7_47FAA","457421","Firmicutes","HMP_2018"
"Roseburia intestinalis M50/1","657315","Firmicutes","HMP_2018"
"Fusobacterium nucleatum subsp. animalis 11_3_2","457403","Fusobacteria","HMP_2018"
"Bacteroides finegoldii DSM 17565","483215","Bacteroidetes","HMP_2018"
"Bacteroides sp. 4_3_47FAA","457394","Bacteroidetes","HMP_2018"
"Bacteroides sp. 2_1_16","817","Bacteroidetes","HMP_2018"
"Ruminococcus champanellensis 18P13 = JCM 17042","213810","Firmicutes","HMP_2018"
"Arcobacter butzleri JV22","888827","Proteobacteria","HMP_2018"
"Lactobacillus delbrueckii subsp. lactis DSM 20072","888027","Firmicutes","HMP_2018"
"Bacillus sp. 7_6_55CFAA_CT2","665957","Firmicutes","HMP_2018"
"Anaerostipes caccae DSM 14662","411490","Firmicutes","HMP_2018"
"Helicobacter pylori GAM252Bi","1159041","Proteobacteria","HMP_2018"
"Slackia piriformis YIT 12062","742818","Actinobacteria","HMP_2018"
"Listeria grayi DSM 20601","525367","Firmicutes","HMP_2018"
"Bacteroides sp. 3_1_40A","469593","Bacteroidetes","HMP_2018"
"Ruminococcus obeum ATCC 29174","411459","Firmicutes","HMP_2018"
"Helicobacter pylori GAM201Ai","1159031","Proteobacteria","HMP_2018"
"Bacteroides fluxus YIT 12057","763034","Bacteroidetes","HMP_2018"
"Streptococcus equinus ATCC 9812","525379","Firmicutes","HMP_2018"
"Proteus penneri ATCC 35198","471881","Proteobacteria","HMP_2018"
"Roseburia inulinivorans DSM 16841","622312","Firmicutes","HMP_2018"
"Lactobacillus ruminis ATCC 25644","525362","Firmicutes","HMP_2018"
"Alistipes indistinctus YIT 12060","742725","Bacteroidetes","HMP_2018"
"Coprococcus eutactus ATCC 27759","411474","Firmicutes","HMP_2018"
"Helicobacter pylori HP250ASii","1159070","Proteobacteria","HMP_2018"
"Roseburia intestinalis L1-82","536231","Firmicutes","HMP_2018"
"Escherichia coli MS 145-7","679204","Proteobacteria","HMP_2018"
"Helicobacter pylori GAM105Ai","1159022","Proteobacteria","HMP_2018"
"Enterococcus faecalis TX1467","749517","Firmicutes","HMP_2018"
"Bacillus smithii 7_3_47FAA","665952","Firmicutes","HMP_2018"
"Bacteroides sp. 1_1_14","469585","Bacteroidetes","HMP_2018"
"Listeria innocua ATCC 33091","1002366","Firmicutes","HMP_2018"
"Escherichia coli MS 182-1","749545","Proteobacteria","HMP_2018"
"Lactobacillus brevis subsp. gravesensis ATCC 27305","525310","Firmicutes","HMP_2018"
"Bacteroides stercoris ATCC 43183","449673","Bacteroidetes","HMP_2018"
"Helicobacter pylori GAM210Bi","1159032","Proteobacteria","HMP_2018"
"Escherichia coli MS 119-7","679206","Proteobacteria","HMP_2018"
"Bifidobacterium longum subsp. infantis CCUG 52486","537937","Actinobacteria","HMP_2018"
"Enterococcus faecalis TX0104","491074","Firmicutes","HMP_2018"
"Lactobacillus rhamnosus LMS2-1","525361","Firmicutes","HMP_2018"
"Paraprevotella xylaniphila YIT 11841","762982","Bacteroidetes","HMP_2018"
"Bifidobacterium breve HPH0326","1203540","Actinobacteria","HMP_2018"
"Ruminococcus lactaris ATCC 29176","471875","Firmicutes","HMP_2018"
"Bacteroides oleiciplenus YIT 12058","742727","Bacteroidetes","HMP_2018"
"Streptococcus sp. 2_1_36FAA","469609","Firmicutes","HMP_2018"
"Escherichia coli MS 187-1","749547","Proteobacteria","HMP_2018"
"Butyrivibrio crossotus DSM 2876","511680","Firmicutes","HMP_2018"
"Bacteroides sp. 2_1_56FAA","817","Bacteroidetes","HMP_2018"
