Species,CSUR number,Phylum,Category,C,D,E,F,G,H,I,J,K,N° of Id
Sphingomonas aerolata,CSURP1458,Proteobacteria,NH,X,,,,,,,,,1
Sporolactobacillus laevolacticus,CSURP2975,Firmicutes,NH,,,,,,,,,X,1
Sporosarcina aquimarina,CSURP2030,Firmicutes,NH,,X,1,,,,,,,2
Sporosarcina koreensis,CSURP1237,Firmicutes,NH,,,,,,,1,,,2
Sporosarcina luteola,CSURP677,Firmicutes,NH,X,,,,,,,,,1
Staphylococcus arlettae,CSURP890,Firmicutes,H(GUT),1,,,,,,3,,,5
Staphylococcus aureus,CSURP178,Firmicutes,H(GUT),8,17,2,3,,2,3,,1,37
Staphylococcus auricularis,CSURP822,Firmicutes,H(GUT),,1,,,,,,,,2
Staphylococcus capitis,CSURP311,Firmicutes,H(GUT),1,3,2,1,,2,,,1,47
Staphylococcus caprae,CSURP651,Firmicutes,H(GUT),2,4,,,,,1,,,8
Staphylococcus carnosus,CSURP1892,Firmicutes,H,,,X,,,,,,,1
Staphylococcus cohnii,CSURP1058,Firmicutes,H,7,11,1,,1,1,3,,,25
Staphylococcus condimenti,CSURP648,Firmicutes,H(GUT),2,2,,,,,,,,5
Staphylococcus devriesei,CSURP920,Firmicutes,H,,X,,,,,,,,1
Staphylococcus epidermidis,CSURP278,Firmicutes,H(GUT),12,35,4,2,1,2,3,,1,61
Staphylococcus equorum,CSURP1315,Firmicutes,H,,X,,,,,,,,1
Staphylococcus gallinarum,ND,Firmicutes,H,,,,,,,X,,,1
Staphylococcus haemolyticus,CSURP706,Firmicutes,H(GUT),1,16,2,2,,,3,,1,35
Staphylococcus hominis,CSURP391,Firmicutes,H(GUT),11,31,2,3,,2,1,,,51
Staphylococcus hyicus,ND,Firmicutes,H,,,,,,,X,,,1
Staphylococcus jettensis,CSURP1059,Firmicutes,H,X,2,,,,,,,,3
Staphylococcus kloosii,CSURP685,Firmicutes,H,,,,,,,,,1,2
Staphylococcus lentus,ND,Firmicutes,H,,,X,,,,,,,1
Staphylococcus lugdunensis,CSURP475,Firmicutes,H(GUT),4,6,2,,,,,,,13
Staphylococcus nepalensis,CSURP2420,Firmicutes,H(GUT),,,,,,,X,,,1
Staphylococcus pasteuri,CSURP750,Firmicutes,H,8,2,2,,,2,,,,33
Staphylococcus petrasii,CSURP1483,Firmicutes,H,,X,,,,,,,,1
Staphylococcus pettenkoferi,CSURP604,Firmicutes,H(GUT),2,2,,,,,,,,5
Staphylococcus saprophyticus,CSURP541,Firmicutes,H(GUT),4,13,2,1,,,1,,,22
Staphylococcus sciuri,CSURP853,Firmicutes,H(GUT),1,4,1,,,,1,,,8
Staphylococcus simiae,ND,Firmicutes,NH,,,X,,,,,,,1
Staphylococcus simulans,CSURP653,Firmicutes,H(GUT),1,1,1,,,,1,,,5
Staphylococcus succinus,ND,Firmicutes,H(GUT),,X,1,,,,,,,2
Staphylococcus warneri,CSURP757,Firmicutes,H(GUT),9,14,3,,,2,1,,1,31
Staphylococcus xylosus,CSURP814,Firmicutes,H(GUT),4,1,1,,,,1,,,8
Stenotrophomonas acidaminiphila,CSURP2028,Proteobacteria,NH,,X,,,,,,,,1
Stenotrophomonas maltophilia,CSURP1744,Proteobacteria,H(GUT),3,,,2,,,,,,6
Stenotrophomonas rhizophila,ND,Proteobacteria,H(GUT),,,,,,1,,,,2
Stoquefichus jeddahensis,CSURP1494,Firmicutes,NS,,X,,,,,,,,1
Streptococcus agalactiae,CSURP536,Firmicutes,H(GUT),,6,2,1,,2,,,1,13
Streptococcus alactolyticus,CSURP1920,Firmicutes,H,,X,1,,,,,,,2
Streptococcus anginosus,CSURP593,Firmicutes,H(GUT),4,8,1,7,1,2,,,1,25
Streptococcus australis,CSURP1216,Firmicutes,NH,1,5,,3,,,,,1,11
Streptococcus castoreus,ND,Firmicutes,NH,,X,,,,,,,,1
Streptococcus constellatus,CSURP851,Firmicutes,H(GUT),,,1,1,,2,,,1,6
Streptococcus cristatus,CSURP644,Firmicutes,H,7,3,,,,1,,,1,13
Streptococcus dysgalactiae,CSURP1819,Firmicutes,H,,,X,,,,,,,1
Streptococcus equinus,CSURP1179,Firmicutes,H(GUT),1,6,2,1,,,,,1,12
Streptococcus gallolyticus,CSURP485,Firmicutes,H(GUT),,13,2,1,,,,,,17
Streptococcus gordonii,CSURP573,Firmicutes,H(GUT),3,6,,1,,2,,,1,14
Streptococcus infantarius,ND,Firmicutes,H(GUT),X,1,2,,,,,,,4
Streptococcus infantis,ND,Firmicutes,H(GUT),,2,,,,,,,,3
Streptococcus lutetiensis,CSURP543,Firmicutes,H(GUT),4,7,3,2,,,,,,17
Streptococcus mitis,CSURP1123,Firmicutes,H(GUT),1,25,2,4,,1,,,,43
Streptococcus mutans,CSURP811,Firmicutes,H(GUT),,,,1,,2,,,1,5
Streptococcus oralis,CSURP856,Firmicutes,H(GUT),7,2,1,2,1,2,,,1,35
Streptococcus parasanguinis,CSURP1845,Firmicutes,H(GUT),4,8,1,2,,,,,1,17
Streptococcus peroris,CSURP885,Firmicutes,H,1,5,,,,,,,,7
Streptococcus pleomorphus,CSURP1217,Firmicutes,H,,X,,,,,,,,1
Streptococcus pneumoniae,CSURP635,Firmicutes,H(GUT),2,3,1,,,,,,,7
Streptococcus salivarius,CSURP686,Firmicutes,H(GUT),5,8,1,4,,2,,,1,22
Streptococcus sanguinis,v,Firmicutes,H(GUT),6,17,1,,,,,,1,26
Streptococcus sobrinus,CSURP2033,Firmicutes,H,,,,X,,2,,,,3
Streptococcus thermophilus,CSURP446,Firmicutes,H(GUT),X,,,,,,,,,1
Streptococcus tigurinus,ND,Firmicutes,H,X,,,,,,,,,1
Streptococcus timonensis,CSURP2915,Firmicutes,NS,,,,,,,,,X,1
Streptococcus uberis,ND,Firmicutes,H,,,X,,,,,,,1
Streptococcus vestibularis,ND,Firmicutes,H(GUT),1,2,,,,,,,,4
Streptomyces koyangensis,CSURP134,Firmicutes,NH,,,,X,,,,,,1
Streptomyces thermoviolaceus,ND,Actinobacteria,NH,,X,,,,,,,,1
Subdoligranulum variabile,CSURP3088,Firmicutes,H(GUT),,,,,,,,,X,1
Sutterella massiliensis,CSURP2335,Proteobacteria,NS,,,,X,,,,,,1
Sutterella wadsworthensis,CSURP1463,Proteobacteria,H(GUT),,X,,2,,,,1,1,5
Terribacillus aidingensis,ND,Firmicutes,NH,,X,,,,,2,,,3
Terribacillus halophilus,CSURP1239,Firmicutes,NH,,,,,,,X,,,1
Terrisporobacter glycolicus,CSURP2569,Firmicutes,H(GUT),,X,,,,,,,,1
Terrisporobacter mayombei,CSURP1899,Firmicutes,NH,,X,,,,,,,,1
Tessaracoccus massiliensis,CSURP1301,Actinobacteria,NS,,X,,,,,,,,1
Tetragenococcus koreensis,CSURP2168,Firmicutes,NH,,,,,,X,,,,1
Thalassobacillus devorans,ND,Firmicutes,NH,,1,,,,,X,,,2
Thalassobacillus massiliensis,CSURP976,Firmicutes,NS,,1,,,,,X,,,2
Thermoactinomyces sanguinis,CSURP1936,Firmicutes,NH,,X,,,,,,,,1
Tidjanibacter massiliensis,CSURP3084,Bacteroidetes,NS,,,,,,,,,X,1
Tissierella praeacuta,CSURP914,Firmicutes,H(GUT),,6,,,,,,,,7
Tropheryma whipplei,ND,Actinobacteria,H(GUT),,,,X,,,,,,1
Trueperella bernardiae,CSURP769,Actinobacteria,H(GUT),,1,,,,,,,,2
Trueperella pyogenes,ND,Actinobacteria,H,,,X,,,,,,,1
Turicella otitidis,CSURP771,Actinobacteria,H,X,,,,,,,,,1
Turicibacter sanguinis,CSURP700,Firmicutes,H(GUT),3,8,1,,,,,,1,14
Tyzzerella massiliensis,CSURP3062,Firmicutes,NS,,,,,,,,,X,1
Urmitella massiliensis,ND,Firmicutes,NS,,X,,,,,,,,1
Urmitella timonensis,CSURP2918,Firmicutes,NS,,X,,,,,,,,1
Vagococcus fluvialis,CSURP2697,Firmicutes,H,,,,X,,,,,,1
Vagococcus lutrae,CSURP1451,Firmicutes,NH,,,,,X,,,,,1
Vagococcus penaei,CSURP1469,Firmicutes,NH,,,,X,,,,,,1
Vagococcus teuberi,ND,Firmicutes,NH,,X,,,,,,,,1
Varibaculum cambriense,CSURP2227,Actinobacteria,H,,X,,,,,,,,1
Veillonella atypica,CSURP1086,Firmicutes,H(GUT),5,,,,,,,,,6
Veillonella denticariosi,ND,Firmicutes,H,X,,,,,,,,,1
Veillonella dispar,CSURP940,Firmicutes,H(GUT),5,1,,,,,,,,7
Veillonella parvula,CSURP1033,Firmicutes,H(GUT),3,12,1,1,,,,,,18
Victivallis vadensis,CSURP2748,Lentisphaerae,H(GUT),,,,,,,,,X,1
Virgibacillus dokdonensis,CSURP2545,Firmicutes,NH,,,,,,,X,,,1
Virgibacillus halodenitrificans,CSURP1093,Firmicutes,NH,1,,,,,,X,,,2
Virgibacillus massiliensis,CSURP971,Firmicutes,NS,,1,,,,,X,,,2
Virgibacillus pantothenticus,CSURP421,Firmicutes,NH,1,,,,,,X,,,2
Virgibacillus proomii,CSURP864,Firmicutes,NH,1,11,,,,,X,,,13
Virgibacillus senegalensis,CSURP1101,Firmicutes,NS,,,,,,,X,,,1
Virgibacillus siamensis,CSURP2607,Firmicutes,NH,,,,,,,X,,,1
Vitreoscilla massiliensis,CSURP2036,Proteobacteria,NS,,,,,,X,,,,1
Weeksella virosa,CSURP708,Bacteroidetes,H(GUT),X,,,,,,,,,1
Weissella cibaria,CSURP1939,Firmicutes,H(GUT),2,7,2,,,2,,,,14
Weissella confusa,ND,Firmicutes,H(GUT),,X,,,,2,,,,3
Weissella paramesenteroides,ND,Firmicutes,NH,,1,,,,2,,,,4
Weissella viridescens,CSURP2541,Firmicutes,H,,,,X,,,,,,1
Xanthomonas massiliensis,CSURP2129,Proteobacteria,NS,,,,,,X,,,,1
Yersinia aleksiciae,ND,Proteobacteria,H(GUT),,,,,X,,,,,1
Yersinia bercovieri,CSURP1905,Proteobacteria,H(GUT),,,,,,X,,,,1
Yersinia enterocolitica,CSURP840,Proteobacteria,H(GUT),X,,1,,1,2,,,,5
Yersinia intermedia,CSURP2243,Proteobacteria,H(GUT),,,X,,1,,,,,2
Yersinia kristensenii,ND,Proteobacteria,H(GUT),,,,,X,,,,,1
Yersinia mollaretii,ND,Proteobacteria,H,,,,,,X,,,,1
Zimmermanella faecalis,ND,Actinobacteria,NH,,X,,1,,,,,,2
